iter	Logloss
0	0.6720958825
1	0.6544492789
2	0.6404020885
3	0.6264634066
4	0.6130982205
5	0.6002486913
6	0.590668089
7	0.5820179871
8	0.5745218594
9	0.5677094216
10	0.5600832509
11	0.5533209763
12	0.5470173092
13	0.5419436312
14	0.5396045485
15	0.5342349547
16	0.5309490448
17	0.5273512281
18	0.5235803916
19	0.5207681307
20	0.5182333362
21	0.5152783898
22	0.5124755229
23	0.5099391724
24	0.5078241796
25	0.5059854806
26	0.5040132185
27	0.5020925121
28	0.5000166488
29	0.4983672225
30	0.4967194091
31	0.4951754802
32	0.4936834357
33	0.4922108962
34	0.4912473604
35	0.4900312945
36	0.4891057351
37	0.4882263642
38	0.4874397294
39	0.4865192167
40	0.4857696406
41	0.4846335829
42	0.4837951297
43	0.4829495995
44	0.482446263
45	0.4818291797
46	0.4811826639
47	0.4805008463
48	0.4798466882
49	0.4793327894
50	0.4788402693
51	0.4782363471
52	0.4777773533
53	0.4772602764
54	0.4767798975
55	0.4762803831
56	0.4757829382
57	0.4752257074
58	0.4749739251
59	0.4745403828
60	0.4740891361
61	0.4736301971
62	0.4732568944
63	0.4728777654
64	0.4725124995
65	0.4721167722
66	0.4717706161
67	0.4713490474
68	0.4710044214
69	0.4705583018
70	0.4702339877
71	0.4700120774
72	0.4697058649
73	0.46946915
74	0.4691435041
75	0.4689606098
76	0.4686530693
77	0.468508198
78	0.4682702731
79	0.4680587518
80	0.467700715
81	0.4673802623
82	0.4671401183
83	0.4668990093
84	0.4667609277
85	0.4664274042
86	0.4663757073
87	0.4661191728
88	0.4658634305
89	0.4655441894
90	0.4653693049
91	0.4651967184
92	0.4649793915
93	0.4648151898
94	0.4646034157
95	0.4644887201
96	0.4643149481
97	0.4638877436
98	0.4636576858
99	0.4633416897
100	0.4629549514
101	0.4626710489
102	0.4624876302
103	0.4622583167
104	0.4620671855
105	0.461760396
106	0.4615424785
107	0.4612177859
108	0.4610976209
109	0.4609792587
110	0.4608315956
111	0.4606420597
112	0.4604254188
113	0.4601968218
114	0.4600690882
115	0.4599275954
116	0.459688512
117	0.4594690831
118	0.4590878359
119	0.4589101156
120	0.458763041
121	0.4586999928
122	0.4584335053
123	0.4582453165
124	0.4581940968
125	0.4580856442
126	0.4579459664
127	0.4578783905
128	0.4576409711
129	0.457463299
130	0.4573868948
131	0.4571621036
132	0.4570171315
133	0.4568501141
134	0.4568130333
135	0.4566548736
136	0.456532565
137	0.4563981687
138	0.456289328
139	0.4562002456
140	0.4560842521
141	0.4558105736
142	0.4557422108
143	0.4555000001
144	0.4552178904
145	0.4550544828
146	0.4549521087
147	0.4547700928
148	0.4545289928
149	0.4544137342
150	0.4543524637
151	0.4541963415
152	0.4540357345
153	0.4538537517
154	0.4536462363
155	0.4535349928
156	0.4532691904
157	0.4529133692
158	0.4527625243
159	0.452559972
160	0.452242567
161	0.4521643287
162	0.4519918123
163	0.4518471298
164	0.4517775684
165	0.4516735425
166	0.4515400085
167	0.4514024155
168	0.4511574777
169	0.4510614556
170	0.4507069115
171	0.4504381723
172	0.4502329194
173	0.4501476913
174	0.4499113085
175	0.4496892756
176	0.4495402985
177	0.4493108801
178	0.4490837847
179	0.4489647675
180	0.4487302097
181	0.4485665885
182	0.448456044
183	0.4481701992
184	0.4479140141
185	0.4477484188
186	0.4476500299
187	0.4475502104
188	0.4473419928
189	0.447183406
190	0.4470367853
191	0.4468439544
192	0.4465960604
193	0.4464535878
194	0.4462086015
195	0.4458814209
196	0.4457713086
197	0.4455408579
198	0.4454393669
199	0.4453432633
